,order_id,tracking_number,date_creation,date_shipping,shipper,history,Shipping_Status,Expected_Arrival,Arrival_Status
0,34304667,2140164191,2023-11-02,2023-11-02,DHL,"[('2023-11-02', 'Shipment picked up'), ('2023-11-02', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-02', 'Processed at belfast-united kingdom'), ('2023-11-02', 'Processed at dublin-ireland, republic of'), ('2023-11-02', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-03', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-03', 'Processed at leipzig-germany'), ('2023-11-03', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-03', 'Shipment has departed from a dhl facility lyon-france'), ('2023-11-03', 'Shipment is in transit to destination'), ('2023-11-03', 'Shipment is in transit to destination'), ('2023-11-03', 'Arrived at dhl sort facility  toulouse-france'), ('2023-11-03', 'Processed at toulouse-france'), ('2023-11-03', 'Shipment has departed from a dhl facility toulouse-france'), ('2023-11-03', 'Arrived at dhl delivery facility  toulouse-france'), ('2023-11-03', 'Scheduled to depart on the next planned movement'), ('2023-11-06', 'Shipment is scheduled for delivery'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Awaiting collection by the consignee'), ('2023-11-08', 'Awaiting collection by the consignee'), ('2023-11-09', 'Awaiting collection by the consignee'), ('2023-11-10', 'Awaiting collection by the consignee'), ('2023-11-10', 'Delivered')]",Shipped On Time,2023-11-07,On Time
1,34304798,9768279986,2023-11-02,2023-11-02,DHL,"[('2023-11-02', 'Shipment picked up'), ('2023-11-02', 'Processed at belfast-united kingdom'), ('2023-11-02', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-02', 'Processed at dublin-ireland, republic of'), ('2023-11-02', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-03', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-03', 'Processed at leipzig-germany'), ('2023-11-03', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-03', 'Arrived at dhl sort facility  nantes-france'), ('2023-11-03', 'Processed at nantes-france'), ('2023-11-03', 'Shipment has departed from a dhl facility nantes-france'), ('2023-11-03', 'Arrived at dhl delivery facility  nantes-france'), ('2023-11-03', 'Shipment is on hold'), ('2023-11-06', 'Shipment is out with courier for delivery'), ('2023-11-06', 'Shipment is scheduled for delivery'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Awaiting collection by the consignee'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-07,On Time
2,34309802,1091427665,2023-11-02,2023-11-03,DHL,"[('2023-11-03', 'Shipment picked up'), ('2023-11-03', 'Processed at belfast-united kingdom'), ('2023-11-03', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-03', 'Processed at dublin-ireland, republic of'), ('2023-11-03', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-04', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-04', 'Processed at leipzig-germany'), ('2023-11-04', 'Scheduled to depart on the next planned movement'), ('2023-11-06', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-06', 'Arrived at dhl delivery facility  frankfurt-germany'), ('2023-11-06', 'Shipment is out with courier for delivery'), ('2023-11-06', 'Delivered')]",Shipped On Time,2023-11-07,On Time
3,34314077,1Z0438R96895649002,2023-11-02,2023-11-03,UPS,"[('2023-11-03', 'Shipper created a label, ups has not received the package yet. '), ('2023-11-03', 'Collection scan '), ('2023-11-03', 'Origin scan'), ('2023-11-03', 'We’re sorry your parcel was delayed. we are adjusting delivery plans as quickly as possible.'), ('2023-11-06', 'Departed from facility'), ('2023-11-06', 'Arrived at facility'), ('2023-11-07', 'Departed from facility'), ('2023-11-07', 'Arrived at facility'), ('2023-11-07', 'Processing at ups facility'), ('2023-11-07', 'Out for delivery today'), ('2023-11-07', 'Delivered ')]",Shipped On Time,2023-11-07,On Time
4,34345497,7101777524,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Shipment has departed from a dhl facility lyon-france'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Arrived at dhl sort facility  toulouse-france'), ('2023-11-07', 'Processed at toulouse-france'), ('2023-11-07', 'Shipment has departed from a dhl facility toulouse-france'), ('2023-11-07', 'Arrived at dhl delivery facility  toulouse-france'), ('2023-11-07', 'Scheduled to depart on the next planned movement'), ('2023-11-08', 'Shipment is out with courier for delivery'), ('2023-11-08', 'Delivered')]",Shipped On Time,2023-11-08,On Time
5,34348116,7101790021,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Shipment has departed from a dhl facility lyon-france'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Arrived at dhl sort facility  toulouse-france'), ('2023-11-07', 'Processed at toulouse-france'), ('2023-11-07', 'Shipment has departed from a dhl facility toulouse-france'), ('2023-11-07', 'Arrived at dhl delivery facility  toulouse-france'), ('2023-11-07', 'Scheduled to depart on the next planned movement'), ('2023-11-08', 'Shipment is out with courier for delivery'), ('2023-11-08', 'Delivered')]",Shipped On Time,2023-11-08,On Time
6,34348670,7101821016,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Arrived at dhl sort facility  lyon-france'), ('2023-11-07', 'Processed at lyon-france'), ('2023-11-07', 'Shipment has departed from a dhl facility lyon-france'), ('2023-11-07', 'Arrived at dhl delivery facility  lyon-france'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-08,On Time
7,34350142,1Z0438R96896708428,2023-11-03,2023-11-06,UPS,"[('2023-11-06', 'Shipper created a label, ups has not received the package yet. '), ('2023-11-06', 'Collection scan '), ('2023-11-06', 'Origin scan'), ('2023-11-06', 'Departed from facility'), ('2023-11-06', 'Arrived at facility'), ('2023-11-07', 'Departed from facility'), ('2023-11-07', 'Arrived at facility'), ('2023-11-07', 'Processing at ups facility'), ('2023-11-07', 'Out for delivery today'), ('2023-11-07', 'Delivered ')]",Shipped On Time,2023-11-08,On Time
8,34354364,9641402584,2023-11-03,2023-11-06,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-09', 'Scheduled to depart on the next planned movement'), ('2023-11-10', 'Processed at dublin-ireland, republic of'), ('2023-11-10', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-11', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-11', 'Processed at leipzig-germany'), ('2023-11-11', 'Scheduled to depart on the next planned movement'), ('2023-11-12', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-12', 'Arrived at dhl sort facility  rome-italy'), ('2023-11-13', 'Processed at rome-italy'), ('2023-11-13', 'Shipment has departed from a dhl facility rome-italy'), ('2023-11-13', 'Arrived at dhl delivery facility  rome-italy'), ('2023-11-13', 'Shipment is out with courier for delivery'), ('2023-11-13', 'Delivered')]",Shipped On Time,2023-11-08,Late
9,34355603,5262773390,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Arrived at dhl sort facility  barcelona-spain'), ('2023-11-07', 'Processed at barcelona-spain'), ('2023-11-07', 'Shipment has departed from a dhl facility barcelona-spain'), ('2023-11-07', 'Arrived at dhl delivery facility  barcelona-spain'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-08,On Time
